YYYYMMDD,RH
#,Opmerking:
#,SOURCE:
#,Comment:
#,STN
#,344
#,RH
#,"STN,YYYYMMDD,"
"344,20130326,",0
"344,20130327,",0
"344,20130328,",-1
"344,20130329,",1
"344,20130330,",-1
"344,20130331,",-1
"344,20130401,",0
"344,20130402,",0
"344,20130403,",0
"344,20130404,",1
"344,20130405,",0
"344,20130406,",0
"344,20130407,",0
"344,20130408,",0
"344,20130409,",7
"344,20130410,",1
"344,20130411,",49
"344,20130412,",63
"344,20130413,",25
"344,20130414,",3
"344,20130415,",10
"344,20130416,",0
"344,20130417,",0
"344,20130418,",0
"344,20130419,",1
"344,20130420,",0
"344,20130421,",0
"344,20130422,",-1
"344,20130423,",8
"344,20130424,",0
"344,20130425,",-1
"344,20130426,",66
"344,20130427,",0
"344,20130428,",0
"344,20130429,",13
"344,20130430,",0
"344,20130501,",0
"344,20130502,",-1
"344,20130503,",0
"344,20130504,",0
"344,20130505,",0
"344,20130506,",0
"344,20130507,",3
"344,20130508,",79
"344,20130509,",1
"344,20130510,",6
"344,20130511,",55
"344,20130512,",33
"344,20130513,",49
"344,20130514,",37
"344,20130515,",9
"344,20130516,",151
"344,20130517,",150
"344,20130518,",-1
"344,20130519,",-1
"344,20130520,",225
"344,20130521,",40
"344,20130522,",-1
"344,20130523,",17
"344,20130524,",44
"344,20130525,",44
"344,20130526,",31
"344,20130527,",0
"344,20130528,",0
"344,20130529,",7
"344,20130530,",20
"344,20130531,",0
"344,20130601,",0
"344,20130602,",0
"344,20130603,",0
"344,20130604,",0
"344,20130605,",0
"344,20130606,",0
"344,20130607,",0
"344,20130608,",0
"344,20130609,",0
"344,20130610,",0
"344,20130611,",0
"344,20130612,",19
"344,20130613,",22
"344,20130614,",0
"344,20130615,",9
"344,20130616,",-1
"344,20130617,",-1
"344,20130618,",0
"344,20130619,",-1
"344,20130620,",3
"344,20130621,",85
"344,20130622,",28
"344,20130623,",119
"344,20130624,",20
"344,20130625,",0
"344,20130626,",98
"344,20130627,",7
"344,20130628,",102
"344,20130629,",4
"344,20130630,",0
"344,20130701,",0
"344,20130702,",57
"344,20130703,",38
"344,20130704,",0
"344,20130705,",0
"344,20130706,",0
"344,20130707,",0
"344,20130708,",0
"344,20130709,",0
"344,20130710,",0
"344,20130711,",-1
"344,20130712,",-1
"344,20130713,",0
"344,20130714,",0
"344,20130715,",0
"344,20130716,",0
"344,20130717,",0
"344,20130718,",0
"344,20130719,",0
"344,20130720,",-1
"344,20130721,",0
"344,20130722,",0
"344,20130723,",0
"344,20130724,",-1
"344,20130725,",-1
"344,20130726,",54
"344,20130727,",243
"344,20130728,",0
"344,20130729,",3
"344,20130730,",40
"344,20130731,",0
"344,20130801,",0
"344,20130802,",0
"344,20130803,",-1
"344,20130804,",0
"344,20130805,",113
"344,20130806,",-1
"344,20130807,",33
"344,20130808,",0
"344,20130809,",0
"344,20130810,",0
"344,20130811,",11
"344,20130812,",0
"344,20130813,",22
"344,20130814,",0
"344,20130815,",12
"344,20130816,",2
"344,20130817,",1
"344,20130818,",43
"344,20130819,",40
"344,20130820,",0
"344,20130821,",0
"344,20130822,",-1
"344,20130823,",-1
"344,20130824,",20
"344,20130825,",-1
"344,20130826,",0
"344,20130827,",0
"344,20130828,",23
"344,20130829,",0
"344,20130830,",-1
"344,20130831,",8
"344,20130901,",0
"344,20130902,",-1
"344,20130903,",0
"344,20130904,",0
"344,20130905,",0
"344,20130906,",15
"344,20130907,",-1
"344,20130908,",206
"344,20130909,",359
"344,20130910,",382
"344,20130911,",29
"344,20130912,",83
"344,20130913,",14
"344,20130914,",79
"344,20130915,",56
"344,20130916,",100
"344,20130917,",64
"344,20130918,",66
"344,20130919,",30
"344,20130920,",-1
"344,20130921,",-1
"344,20130922,",-1
"344,20130923,",0
"344,20130924,",0
"344,20130925,",0
"344,20130926,",0
"344,20130927,",0
"344,20130928,",0
"344,20130929,",0
"344,20130930,",0
"344,20131001,",0
"344,20131002,",0
"344,20131003,",11
"344,20131004,",108
"344,20131005,",0
"344,20131006,",0
"344,20131007,",0
"344,20131008,",-1
"344,20131009,",24
"344,20131010,",150
"344,20131011,",197
"344,20131012,",215
"344,20131013,",416
"344,20131014,",21
"344,20131015,",47
"344,20131016,",9
"344,20131017,",0
"344,20131018,",0
"344,20131019,",114
"344,20131020,",12
"344,20131021,",-1
"344,20131022,",-1
"344,20131023,",3
"344,20131024,",0
"344,20131025,",5
"344,20131026,",0
"344,20131027,",73
"344,20131028,",114
"344,20131029,",29
"344,20131030,",0
"344,20131031,",2
"344,20131101,",13
"344,20131102,",77
"344,20131103,",72
"344,20131104,",288
"344,20131105,",73
"344,20131106,",37
"344,20131107,",21
"344,20131108,",37
"344,20131109,",143
"344,20131110,",42
"344,20131111,",5
"344,20131112,",21
"344,20131113,",0
"344,20131114,",87
"344,20131115,",0
"344,20131116,",0
"344,20131117,",-1
"344,20131118,",-1
"344,20131119,",55
"344,20131120,",75
"344,20131121,",-1
"344,20131122,",-1
"344,20131123,",-1
"344,20131124,",-1
"344,20131125,",12
"344,20131126,",3
"344,20131127,",1
"344,20131128,",5
"344,20131129,",40
"344,20131130,",15
"344,20131201,",-1
"344,20131202,",0
"344,20131203,",0
"344,20131204,",12
"344,20131205,",31
"344,20131206,",36
"344,20131207,",18
"344,20131208,",2
"344,20131209,",0
"344,20131210,",0
"344,20131211,",0
"344,20131212,",0
"344,20131213,",1
"344,20131214,",23
"344,20131215,",18
"344,20131216,",-1
"344,20131217,",3
"344,20131218,",4
"344,20131219,",85
"344,20131220,",-1
"344,20131221,",56
"344,20131222,",15
"344,20131223,",16
"344,20131224,",82
"344,20131225,",40
"344,20131226,",-1
"344,20131227,",34
"344,20131228,",22
"344,20131229,",11
"344,20131230,",5
"344,20131231,",43
"344,20140101,",65
"344,20140102,",2
"344,20140103,",59
"344,20140104,",4
"344,20140105,",0
"344,20140106,",20
"344,20140107,",-1
"344,20140108,",77
"344,20140109,",31
"344,20140110,",0
"344,20140111,",1
"344,20140112,",0
"344,20140113,",2
"344,20140114,",21
"344,20140115,",36
"344,20140116,",38
"344,20140117,",25
"344,20140118,",-1
"344,20140119,",-1
"344,20140120,",42
"344,20140121,",4
"344,20140122,",14
"344,20140123,",122
"344,20140124,",18
"344,20140125,",54
"344,20140126,",94
"344,20140127,",31
"344,20140128,",8
"344,20140129,",0
"344,20140130,",-1
"344,20140131,",35
"344,20140201,",119
"344,20140202,",0
"344,20140203,",0
"344,20140204,",-1
"344,20140205,",31
"344,20140206,",74
"344,20140207,",120
"344,20140208,",73
"344,20140209,",2
"344,20140210,",6
"344,20140211,",42
"344,20140212,",41
"344,20140213,",8
"344,20140214,",95
"344,20140215,",2
"344,20140216,",-1
"344,20140217,",-1
"344,20140218,",3
"344,20140219,",1
"344,20140220,",35
"344,20140221,",50
"344,20140222,",-1
"344,20140223,",0
"344,20140224,",0
"344,20140225,",26
"344,20140226,",0
"344,20140227,",32
"344,20140228,",41
"344,20140301,",31
"344,20140302,",0
"344,20140303,",13
"344,20140304,",0
"344,20140305,",0
"344,20140306,",0
"344,20140307,",0
"344,20140308,",0
"344,20140309,",0
"344,20140310,",0
"344,20140311,",0
"344,20140312,",0
"344,20140313,",0
"344,20140314,",0
"344,20140315,",0
"344,20140316,",0
"344,20140317,",0
"344,20140318,",17
"344,20140319,",0
"344,20140320,",0
"344,20140321,",201
"344,20140322,",1
"344,20140323,",34
"344,20140324,",16
"344,20140325,",0
"344,20140326,",20
"344,20140327,",0
"344,20140328,",0
"344,20140329,",0
"344,20140330,",0
"344,20140331,",0
"344,20140401,",0
"344,20140402,",0
"344,20140403,",0
"344,20140404,",0
"344,20140405,",0
"344,20140406,",9
"344,20140407,",157
"344,20140408,",38
"344,20140409,",0
"344,20140410,",0
"344,20140411,",0
"344,20140412,",0
"344,20140413,",0
"344,20140414,",6
"344,20140415,",-1
"344,20140416,",0
"344,20140417,",18
"344,20140418,",8
"344,20140419,",13
"344,20140420,",0
"344,20140421,",8
"344,20140422,",9
"344,20140423,",0
"344,20140424,",6
"344,20140425,",0
"344,20140426,",4
"344,20140427,",0
"344,20140428,",0
"344,20140429,",0
"344,20140430,",0
"344,20140501,",0
"344,20140502,",0
"344,20140503,",0
"344,20140504,",0
"344,20140505,",0
"344,20140506,",3
"344,20140507,",21
